Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
A group of boys playing football.,Un groupe de garçons jouant au football.,787678e.jpeg,0.7725,0.8534,0.5503,0.6031,0.3638
A group of boys playing football.,Un groupe de garçons jouant au football.,2db1e17.jpeg,0.7867,0.8534,0.6202,0.6325,0.4001
Get away from the float!,Éloignez-vous du flotteur!,a021362.jpeg,0.5834,0.6257,0.3954,0.4741,0.2248
Get away from the float!,Éloignez-vous du chariot!,48a50026.jpeg,0.4924,0.5249,0.3208,0.4354,0.1896
A woman is folding sheets.,Une femme est en train de plier des draps.,c82c823d.jpg,0.7479,0.8248,0.3874,0.4618,0.2132
A woman is folding sheets.,Une femme plie des draps.,a5ee9d0.jpeg,0.7304,0.795,0.5027,0.5331,0.2841
A boy using a compass.,Un garçon utilisant une boussole.,00112e3.jpeg,0.7552,0.8454,0.4783,0.5708,0.3258
A boy using a compass.,Un garçon qui utilise une boussole.,edbb25a2.jpeg,0.7704,0.8579,0.4283,0.5056,0.2557
Could you fix the sink please?,Pouvez-vous réparer l'évier?,d8d0a9b.jpeg,0.5974,0.6567,0.4261,0.5886,0.3465
Could you fix the sink please?,Pouvez-vous réparer l'évier?,3ab2469.jpeg,0.5938,0.6567,0.428,0.6158,0.3792
Look at the balloon!,Regarde le ballon!,d33f4b4.jpeg,0.5872,0.6333,0.4575,0.597,0.3564
Look at the balloon!,Regardez le ballon!,58aace5.jpeg,0.6134,0.6617,0.4599,0.5612,0.315
He seems to be enjoying the date!,Il a l'air d'apprécier le rendez-vous!,9e36a43.jpeg,0.7004,0.7498,0.5004,0.497,0.247
He seems to be enjoying the date!,Il semble apprécier la date!,34965040.jpeg,0.5498,0.5631,0.4544,0.374,0.1399
Don't eat the bones!,Ne mange pas les os!,5957d5c.jpeg,0.5728,0.6004,0.423,0.4294,0.1844
Don't eat the bones!,Ne mangez pas les os!,49ea273.jpeg,0.6041,0.6427,0.4265,0.4667,0.2178
Great, it's cricket season!,Super, c'est la saison de cricket!,8d852883.jpeg,0.4447,0.4423,0.457,0.4366,0.1906
Great, it's cricket season!,Super, c'est la saison des criquets!,b25981e4.jpeg,0.4407,0.4537,0.3388,0.3577,0.128
We've got another jam I'm afraid.,On a un autre problème, j'ai peur.,75ddacf3.jpeg,0.4472,0.4511,0.3974,0.279,0.0779
We've got another jam I'm afraid.,On a un autre embouteillage, j'ai peur.,fbe7b91d.jpeg,0.409,0.394,0.5424,0.3352,0.1124
Yes, it's his bar.,Oui, c'est son bar.,51d84e9f.jpeg,0.7001,0.7637,0.4817,0.5394,0.291
Yes, it's his bar.,Oui, c'est son bar.,cd40761f.jpeg,0.7062,0.7637,0.3952,0.43,0.1849
A minister is making a speech while holding a book.,Un ministre fait un discours en tenant un livre.,2139a010.jpeg,0.797,0.8574,0.6568,0.6562,0.4306
A minister is making a speech while holding a book.,Un ministre fait un discours en tenant un livre.,1c56342c.jpeg,0.78,0.8574,0.6434,0.7529,0.5668
He set about repairing his drawers.,Il a commencé à réparer ses tiroirs.,18289856.jpeg,0.6522,0.6837,0.3264,0.3109,0.0966
He set about repairing his drawers.,Il a commencé à réparer ses tiroirs.,9655583e.jpeg,0.641,0.6837,0.4041,0.4248,0.1804
Do you know where my pants are?,Tu sais où est mon pantalon?,e7b25b62.jpeg,0.5918,0.6456,0.374,0.4966,0.2466
Do you know where my pants are?,Tu sais où sont mes pantalons?,0f0d614f.jpeg,0.6176,0.6598,0.393,0.4331,0.1876
Did you make the table?,Tu as fait la table?,98064330.png,0.5493,0.5801,0.3626,0.4056,0.1645
Did you make the table?,Vous avez fait la table?,ef36615f.jpeg,0.5712,0.596,0.3349,0.3243,0.1052
Give me the bill.,Donnez-moi la facture.,67f4273e.jpeg,0.568,0.577,0.5329,0.5042,0.2542
Give me the bill.,Donnez-moi le billet.,3cdf263f.jpeg,0.5302,0.5455,0.4494,0.4341,0.1884
I always remove the skin before eating.,J'enlève toujours la peau avant de manger.,10024f9c.jpeg,0.662,0.719,0.4327,0.4988,0.2488
I always remove the skin before eating.,Je retire toujours la peau avant de manger.,6d3f6275.jpeg,0.6787,0.7319,0.5111,0.5631,0.3171
It's pool time!,C'est l'heure de la piscine!,945eaafe.jpeg,0.5846,0.6033,0.5337,0.6068,0.3683
It's pool time!,C'est l'heure du billard!,f8f08662.jpeg,0.5081,0.4968,0.5626,0.4552,0.2072
The wheel seems to be blocked somehow.,La roue semble bloquée.,62601802.jpeg,0.7465,0.8233,0.5281,0.593,0.3516
The wheel seems to be blocked somehow.,Le volant semble bloqué.,d25f8b00.jpeg,0.5831,0.6043,0.5059,0.5233,0.2739
Your punch is amazing!,Ton punch est génial!,ca74d696.jpeg,0.559,0.6192,0.3075,0.4889,0.239
Your punch is amazing!,Ton coup est incroyable!,33a17046.jpeg,0.2823,0.2943,0.188,0.3567,0.1273
My husband bought a chopper recently.,Mon mari a acheté un hélicoptère récemment.,b83a0d52.jpeg,0.5688,0.6342,0.2752,0.4719,0.2227
My husband bought a chopper recently.,Mon mari a acheté un hélicoptère récemment.,cf615703.jpeg,0.6168,0.6342,0.4595,0.3326,0.1106
You bought a new scarf, didn't you?,Vous avez acheté un nouveau foulard, n'est-ce pas?,bd7e6fd1.jpeg,0.7,0.7626,0.4267,0.4784,0.2289
You bought a new scarf, didn't you?,Vous avez acheté un nouveau foulard, n'est-ce pas?,f36df8d4.jpeg,0.6859,0.7626,0.4521,0.5728,0.3281
We are under the canopy.,Nous sommes sous la canopée.,275d8d87.jpeg,0.6673,0.721,0.3942,0.4437,0.1968
We are under the canopy.,Nous sommes sous la canopée.,417a2e1b.jpeg,0.6581,0.721,0.4173,0.511,0.2611
The dummies need to be cleaned.,Les mannequins doivent être nettoyés.,860e2fac.jpeg,0.4839,0.5071,0.2878,0.3439,0.1182
The dummies need to be cleaned.,Les mannequins doivent être nettoyés.,1b2e7f19.jpeg,0.5117,0.5071,0.5444,0.3762,0.1415
He wants to show me his spot.,Il veut me montrer son spot.,dd57e9c4.jpeg,0.7105,0.7469,0.3057,0.2997,0.0898
He wants to show me his spot.,Il veut me montrer sa tache.,37b65d2c.jpeg,0.628,0.6503,0.2525,0.2441,0.0596
Have you seen my pin?,Vous avez vu mon épingle?,aca94558.jpeg,0.5405,0.562,0.3168,0.3095,0.0958
Have you seen my pin?,Vous avez vu mon épingle?,b764bfff.jpeg,0.5394,0.562,0.3436,0.3394,0.1152
The scale is broken.,La balance est cassée.,28b179a0.jpeg,0.6804,0.6872,0.6652,0.6701,0.449
The scale is broken.,L'échelle est cassée.,a42e8405.jpeg,0.7178,0.7504,0.2807,0.2731,0.0746
Someone should clean the window.,Quelqu'un devrait nettoyer la fenêtre.,c0d48044.jpeg,0.7507,0.8055,0.3962,0.3931,0.1546
Someone should clean the window.,Quelqu'un devrait nettoyer la fenêtre.,2baa9a21.jpeg,0.755,0.8055,0.5889,0.5514,0.304
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour!,58d45ce7.jpeg,0.717,0.7529,0.2826,0.2874,0.0826
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour!,b685970b.jpeg,0.7087,0.7529,0.3347,0.3436,0.1181
The plug has stopped working, could you fix it?,La prise a cessé de fonctionner, pourriez-vous la réparer?,15ff842a.jpeg,0.5516,0.5827,0.3618,0.405,0.164
The plug has stopped working, could you fix it?,La prise a cessé de fonctionner, pourriez-vous la réparer?,7f021dbf.jpeg,0.5398,0.5827,0.3822,0.5223,0.2728
That's a small stone you have there.,C'est une petite pierre que vous avez là.,834c9575.jpeg,0.6417,0.6627,0.5718,0.5472,0.2994
That's a small stone you have there.,C'est une petite pierre que vous avez là.,94e1e71f.jpeg,0.6221,0.6627,0.3882,0.4165,0.1735
I dropped a clip on the floor but I'm not sure where.,J'ai laissé tomber un clip sur le sol, mais je ne sais pas où.,0899e541.jpeg,0.7367,0.7942,0.4077,0.4178,0.1746
I dropped a clip on the floor but I'm not sure where.,J'ai laissé tomber un clip sur le sol, mais je ne sais pas où.,407421d6.jpeg,0.7441,0.7942,0.358,0.3602,0.1298
Hand me the dough!,Donne-moi la pâte!,3221b8a2.jpeg,0.4348,0.4417,0.4104,0.5317,0.2827
Hand me the dough!,Donne-moi la pâte!,a32d69d2.jpeg,0.4313,0.4417,0.3806,0.4523,0.2046
You need to get rid of the ashes.,Vous devez vous débarrasser des cendres.,0a13492f.jpeg,0.6286,0.6804,0.3369,0.4215,0.1776
You need to get rid of the ashes.,Vous devez vous débarrasser des cendres.,1cb7d406.jpeg,0.6301,0.6804,0.3667,0.4373,0.1912
She's got a bun in the oven.,Elle a un pain dans le four.,acce2bc9.jpeg,0.5313,0.5421,0.4341,0.3323,0.1104
She's got a bun in the oven.,Elle a un pain dans le four.,46dbc605.jpeg,0.5073,0.5421,0.3684,0.5,0.25
He's got balls!,Il a des balles!,2655a11f.jpeg,0.5977,0.6109,0.5235,0.4226,0.1786
He's got balls!,Il a des couilles!,6daef42a.jpeg,0.5968,0.618,0.4343,0.3615,0.1307
Don't mess with the controller!,Ne jouez pas avec le contrôleur!,2f851ed7.jpeg,0.527,0.5481,0.3181,0.3182,0.1012
Don't mess with the controller!,Ne joue pas avec le contrôleur!,229d48e1.jpeg,0.4763,0.4745,0.4858,0.4343,0.1886
The deer was just looking straight at me.,Le cerf me regardait droit.,6bd69bcb.jpeg,0.7048,0.7478,0.6129,0.6842,0.4681
The deer was just looking straight at me.,Le cerf me regardait droit.,b2ccd0d9.jpeg,0.6986,0.7478,0.5928,0.6815,0.4645
A doe in the field.,Une biche dans le champ.,cfd47eb7.jpeg,0.7324,0.7607,0.6834,0.7588,0.5758
A doe in the field.,Une biche dans le champ.,6476789.jpeg,0.7081,0.7607,0.5061,0.5102,0.2603
Don't look at the fly!,Ne regarde pas la mouche!,b256d36e.jpeg,0.5936,0.6271,0.4063,0.4228,0.1788
Don't look at the fly!,Ne regarde pas la mouche!,e11c1505.jpeg,0.6004,0.6271,0.2879,0.2922,0.0854
He bought his own plane.,Il a acheté son propre avion.,57c4057c.jpeg,0.7781,0.8467,0.4693,0.4713,0.2221
He bought his own plane.,Il a acheté son propre avion.,488a2f83.jpeg,0.8052,0.8467,0.303,0.2874,0.0826
Look at her face, she has a flush!,Regardez son visage, elle a le rouge!,77e96961.jpeg,0.6418,0.6702,0.567,0.6157,0.379
Look at her face, she has a flush!,Regardez son visage, elle a une couleur!,e4889d27.jpeg,0.5861,0.6176,0.2429,0.3029,0.0917
Your gum doesn't look good!,Ton chewing-gum ne va pas bien!,8ac8d99a.jpeg,0.5189,0.5724,0.3345,0.5387,0.2902
Your gum doesn't look good!,Ton chewing-gum n'est pas bon!,cb6326ed.jpeg,0.5587,0.5671,0.5331,0.5719,0.3271
It must be the spirits!,Ça doit être les esprits!,9f4d432f.jpeg,0.6557,0.7234,0.3742,0.4905,0.2406
It must be the spirits!,Ça doit être les spiritueux!,bf89c490.jpeg,0.6589,0.7004,0.4882,0.493,0.243
The soles were stinky.,Les semelles étaient puantes.,2c7ba1fd.jpeg,0.6379,0.6695,0.3286,0.3197,0.1022
The soles were stinky.,Les semelles étaient puantes.,ac7df394.jpeg,0.6316,0.6695,0.4381,0.4428,0.196
A person with a yellow jacket is waiting for something.,Une personne avec une veste jaune attend quelque chose.,c7d1e8b3.jpeg,0.7904,0.8566,0.6136,0.6116,0.374
A person with a yellow jacket is waiting for something.,Une personne avec une veste jaune attend quelque chose.,41fe2d75.jpeg,0.7904,0.8566,0.6086,0.6032,0.3639
I appear to have lost a couple of pounds.,Je semble avoir perdu quelques kilos.,024779eb.jpeg,0.6525,0.6912,0.4859,0.4824,0.2327
I appear to have lost a couple of pounds.,Je semble avoir perdu quelques kilos.,413aebc3.jpeg,0.6462,0.6912,0.2893,0.3551,0.1261
You really need to give the pipes a good clean every now and then.,Il faut vraiment bien nettoyer les tuyaux de temps en temps.,deae3d1c.jpeg,0.6229,0.6673,0.4532,0.5119,0.262
You really need to give the pipes a good clean every now and then.,Il faut bien nettoyer les tuyaux de temps en temps.,aced3462.jpeg,0.597,0.6297,0.3332,0.3522,0.1241
This wedge is all rotten.,Ce coin est tout pourri.,d31ef202.jpeg,0.482,0.5129,0.3654,0.5151,0.2653
This wedge is all rotten.,Ce coin est tout pourri.,c4a03333.jpeg,0.482,0.5129,0.3321,0.454,0.2061
His shoe just fell off in the field.,Sa chaussure est tombée dans le champ.,60f2ad42.jpeg,0.7025,0.7365,0.5831,0.533,0.2841
His shoe just fell off in the field.,Sa chaussure est tombée dans le champ.,25f73d6a.jpeg,0.6911,0.7365,0.4588,0.4417,0.1951
Give me his record, please.,Donnez-moi son dossier, s'il vous plaît.,7f61ac4f.jpeg,0.5016,0.5202,0.3689,0.3743,0.1401
Give me his record, please.,Donnez-moi son disque, s'il vous plaît.,973a12ea.jpeg,0.5184,0.5248,0.4804,0.4124,0.1701
That's a wonderful train, isn't it?,C'est un magnifique train, n'est-ce pas?,9e1a414c.jpeg,0.6812,0.7347,0.5044,0.5501,0.3026
That's a wonderful train, isn't it?,C'est un train merveilleux, n'est-ce pas?,cc4316b3.jpeg,0.6791,0.7176,0.312,0.3238,0.1049
Have you seen the ruler?,Vous avez vu la règle?,082e6875.jpeg,0.4937,0.5296,0.3427,0.4876,0.2377
Have you seen the ruler?,Vous avez vu le souverain?,e4887243.jpeg,0.431,0.4411,0.354,0.3619,0.131
Look under the hood!,Regarde sous le capot!,076f318e.jpeg,0.5264,0.5422,0.4622,0.4959,0.2459
Look under the hood!,Regarde sous le capot!,4302100d.jpeg,0.5168,0.5422,0.3015,0.3436,0.1181
Subway? It's your call.,C'est à vous de décider.,1e3b0ca8.jpeg,0.3654,0.3713,0.3463,0.5585,0.3119
Subway? It's your call.,C'est à vous de décider.,570a6334.jpeg,0.3653,0.3713,0.3373,0.4643,0.2156
What is that sign? I've never seen it before.,C'est quoi ce signe?,e3229bf5.jpeg,0.5859,0.6184,0.3901,0.4074,0.166
What is that sign? I've never seen it before.,C'est quoi ce panneau?,207966ae.jpeg,0.5953,0.6024,0.5755,0.6011,0.3613
Look, he has a leg injury.,Il a une blessure à la jambe.,67de15f9.jpeg,0.5817,0.6014,0.452,0.3898,0.1519
Look, he has a leg injury.,Il a une blessure à la jambe.,f98d9c9f.jpeg,0.5959,0.6014,0.5729,0.4906,0.2407
He is an experienced rider.,C'est un cavalier expérimenté.,6d077744.jpeg,0.5945,0.6177,0.4983,0.4909,0.241
He is an experienced rider.,C'est un cavalier expérimenté.,8f6ff93a.jpeg,0.5689,0.6177,0.3907,0.5233,0.2739
Last weekend, we went to the racetrack.,Le week-end dernier, on est allés au circuit.,86a567a8.jpeg,0.6159,0.6732,0.4149,0.5341,0.2853
Last weekend, we went to the racetrack.,Le week-end dernier, on est allés à l'hippodrome.,c1ba9bc9.jpeg,0.6378,0.7034,0.4239,0.5538,0.3067
Wow, the model is beautiful!,Le modèle est magnifique!,ade009ad.jpeg,0.57,0.6093,0.3397,0.413,0.1705
Wow, the model is beautiful!,Le mannequin est magnifique!,46f204b2.jpeg,0.5724,0.5928,0.4393,0.3911,0.1529
The dock is made of wood and is relatively sturdy.,Le dock est fait de bois et est relativement robuste.,527d027b.jpeg,0.7897,0.8814,0.4864,0.5496,0.3021
The dock is made of wood and is relatively sturdy.,Le quai est en bois et relativement solide.,4a366ec6.jpeg,0.7118,0.7589,0.623,0.7282,0.5303
Why do I get the impression he really likes drills?,Pourquoi j'ai l'impression qu'il aime vraiment les exercices?,68c433ba.jpeg,0.6204,0.6555,0.347,0.3581,0.1282
Why do I get the impression he really likes drills?,Pourquoi j'ai l'impression qu'il aime vraiment les perceuses?,912b8ee3.jpeg,0.6527,0.6966,0.3712,0.395,0.1561
He is sitting on the trunk.,Il est assis sur le tronc.,335b3281.jpeg,0.6871,0.7194,0.4695,0.3856,0.1487
He is sitting on the trunk.,Il est assis sur le coffre.,a5f72754.jpeg,0.7165,0.7675,0.4054,0.4049,0.164
The ball lasted a really long time, well worth the money!,Le bal a duré très longtemps, ça valait bien l'argent!,20217a1a.jpeg,0.5357,0.5377,0.5085,0.2756,0.076
The ball lasted a really long time, well worth the money!,Le ballon a duré très longtemps, ça valait bien l'argent!,c623d53b.jpeg,0.6541,0.6976,0.4541,0.4662,0.2174
He took the lead.,Il a pris les devants.,b5c98a9e.jpeg,0.6157,0.6601,0.388,0.4417,0.1951
He took the lead.,Il a pris les devants.,6f82a941.jpeg,0.6259,0.6601,0.4954,0.5118,0.262
Have you got any coke?,Vous avez du coca?,264ae5e9.jpeg,0.501,0.5187,0.4212,0.4695,0.2204
Have you got any coke?,Vous avez de la coke?,115bec66.jpeg,0.557,0.5756,0.4305,0.3833,0.147
This dog's muzzle is weird.,Le museau de ce chien est bizarre.,b7320652.jpeg,0.6819,0.7559,0.5073,0.651,0.4237
This dog's muzzle is weird.,Le museau de ce chien est bizarre.,4fd8f02b.jpeg,0.7029,0.7559,0.5575,0.6039,0.3647
Can you not hear the roar?,Tu n'entends pas le rugissement?,450cdf0d.jpeg,0.5515,0.594,0.3888,0.511,0.2611
Can you not hear the roar?,Vous n'entendez pas le rugissement?,7a2c2848.jpeg,0.5875,0.6268,0.3286,0.3892,0.1515
Hand me the spade.,Donne-moi la pique.,acf5e2d2.jpeg,0.4443,0.457,0.3736,0.4246,0.1803
Hand me the spade.,Donne-moi la pique.,e82edf58.jpeg,0.4482,0.457,0.4106,0.4825,0.2328
