Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
The fans were still out of order.,Fanoušci byli stále mimo provoz.,657c4a7.jpeg,0.5921,0.6494,0.3934,0.5369,0.2883
I don't think we should use a brush.,Nemyslím si, že bychom měli používat štětec.,189049b.jpeg,0.6374,0.6913,0.3975,0.4739,0.2246
I don't think we should use a brush.,Nemyslím si, že bychom měli používat štětec.,ff78fc7.jpeg,0.6377,0.6913,0.3857,0.4611,0.2126
There's the horn.,Tady je roh.,ed2221a.jpeg,0.4354,0.4247,0.4645,0.6072,0.3686
There's the horn.,Tady je roh.,7d6fbfa.jpeg,0.4237,0.4247,0.4198,0.4899,0.24
Can you not see the red light?,Copak nevidíš červenou?,7241ebd.jpeg,0.4706,0.5098,0.3513,0.5736,0.3291
Can you not see the red light?,Copak nevidíš červenou?,fb2edd5.jpeg,0.4711,0.5098,0.34,0.543,0.2948
I know - good job there are showers.,Já vím, dobrá práce jsou sprchy.,a78f616.jpeg,0.5872,0.6276,0.3124,0.3834,0.147
I know - good job there are showers.,Já vím, dobrá práce jsou sprchy.,3a1b985.jpeg,0.5821,0.6276,0.3063,0.4062,0.165
Like a bat?,Jako netopýr?,e40843b.jpeg,0.3804,0.376,0.3942,0.5581,0.3115
Like a bat?,Jako netopýr?,c239573.jpeg,0.3738,0.376,0.3618,0.4337,0.1881
You should use a fork.,Měl bys použít vidličku.,1aea2b4.jpeg,0.6263,0.6814,0.4131,0.5087,0.2587
You should use a fork.,Měl bys použít vidličku.,bbad554.jpeg,0.6386,0.6814,0.391,0.4159,0.173
What a beautiful bass!,To je ale krásná baskytara!,a96afbd.jpeg,0.5257,0.5725,0.3936,0.5952,0.3543
What a beautiful bass!,To je ale krásná baskytara!,3165ef6.jpeg,0.5278,0.5725,0.3342,0.4807,0.231
A biker on the road.,Motorkář na cestě.,4ercqd74.jpeg,0.6237,0.6043,0.6636,0.6966,0.4852
A biker on the road.,Motorkář na cestě.,d56edd34.jpeg,0.5847,0.6043,0.5459,0.7107,0.5051
That's lots of bucks!,To je spousta babek!,bee3626.jpeg,0.501,0.5115,0.4314,0.3895,0.1517
That's lots of bucks!,To je spousta babek!,7c4e078.jpeg,0.4787,0.5115,0.3687,0.546,0.2981
A person looking at a rock.,Člověk, který se dívá na kámen.,d052f05f.jpeg,0.728,0.7861,0.5675,0.6013,0.3616
A person looking at a rock.,Člověk, který se dívá na kámen.,118a75ff.jpeg,0.7273,0.7861,0.477,0.4847,0.2349
The lamp is tall and elegant.,Lampa je vysoká a elegantní.,5a43462.jpeg,0.7596,0.8511,0.5232,0.6222,0.3872
The lamp is tall and elegant.,Lampa je vysoká a elegantní.,ffda480.jpeg,0.7719,0.8511,0.4201,0.4744,0.225
Give me the file please.,Dej mi tu složku, prosím.,e740816.jpeg,0.3686,0.3866,0.2862,0.467,0.2181
Give me the file please.,Dej mi tu složku, prosím.,c47d9e24.jpeg,0.3719,0.3866,0.2522,0.3503,0.1227
The tube looks dirty!,Ta trubička vypadá špinavě!,27b9b32.jpeg,0.4961,0.5216,0.2949,0.3563,0.127
The tube looks dirty!,Ta trubička vypadá špinavě!,2535cf5.jpeg,0.4792,0.5216,0.2729,0.4535,0.2057
An animal sitting in a palm.,Zvíře sedící v dlani.,a9c0ad02.jpeg,0.5843,0.6478,0.4208,0.6227,0.3878
An animal sitting in a palm.,Zvíře sedící v dlani.,638a4049.jpeg,0.6363,0.6478,0.5851,0.4722,0.223
Show me the ring!,Ukaž mi prsten!,32962fc.jpeg,0.5435,0.5605,0.4927,0.5784,0.3346
Show me the ring!,Ukaž mi prsten!,f4217ff.jpeg,0.5299,0.5605,0.3275,0.3886,0.151
A man with a hat is smoking.,Kouří se muž s kloboukem.,ee1f6c9.jpeg,0.6922,0.7269,0.632,0.7598,0.5772
A man with a hat is smoking.,Kouří se muž s kloboukem.,33fbe77.jpeg,0.6911,0.7269,0.6248,0.7344,0.5394
A group of boys playing football.,Skupina kluků, co hrají fotbal.,787678e.jpeg,0.6543,0.7212,0.4704,0.6031,0.3638
A group of boys playing football.,Skupina kluků, co hrají fotbal.,2db1e17.jpeg,0.6668,0.7212,0.531,0.6325,0.4001
Get away from the float!,Běžte od toho vozu!,a021362.jpeg,0.4679,0.5074,0.292,0.4741,0.2248
Get away from the float!,Běžte od toho vozu!,48a50026.jpeg,0.4798,0.5074,0.3345,0.4354,0.1896
A woman is folding sheets.,Žena skládá prostěradla.,c82c823d.jpg,0.6225,0.6808,0.349,0.4618,0.2132
A woman is folding sheets.,Žena skládá prostěradla.,a5ee9d0.jpeg,0.6214,0.6808,0.4122,0.5331,0.2841
A boy using a compass.,Chlapec s kompasem.,00112e3.jpeg,0.6876,0.7446,0.5127,0.5708,0.3258
A boy using a compass.,Chlapec s kompasem.,edbb25a2.jpeg,0.6838,0.7446,0.4463,0.5056,0.2557
Could you fix the sink please?,Můžeš spravit umyvadlo, prosím?,d8d0a9b.jpeg,0.4816,0.4989,0.4318,0.5886,0.3465
Could you fix the sink please?,Můžeš spravit umyvadlo, prosím?,3ab2469.jpeg,0.4681,0.4989,0.3868,0.6158,0.3792
Look at the balloon!,Koukni na ten balónek!,d33f4b4.jpeg,0.4415,0.4759,0.3449,0.597,0.3564
Look at the balloon!,Koukni na ten balónek!,58aace5.jpeg,0.4444,0.4759,0.3443,0.5612,0.315
He seems to be enjoying the date!,Zdá se, že si to rande užívá!,9e36a43.jpeg,0.5875,0.6183,0.4626,0.497,0.247
He seems to be enjoying the date!,Zdá se, že si to rande užívá!,34965040.jpeg,0.5877,0.6183,0.3691,0.374,0.1399
Don't eat the bones!,Nejez ty kosti!,5957d5c.jpeg,0.4134,0.4282,0.3332,0.4294,0.1844
Don't eat the bones!,Nejez ty kosti!,49ea273.jpeg,0.4188,0.4282,0.3761,0.4667,0.2178
Great, it's cricket season!,Skvělé, je kriketová sezóna!,8d852883.jpeg,0.5928,0.6135,0.484,0.4366,0.1906
Great, it's cricket season!,Skvělé, je kriketová sezóna!,b25981e4.jpeg,0.5776,0.6135,0.2971,0.3577,0.128
We've got another jam I'm afraid.,Obávám se, že máme další džem.,75ddacf3.jpeg,0.569,0.589,0.3131,0.279,0.0779
We've got another jam I'm afraid.,Obávám se, že máme další džem.,fbe7b91d.jpeg,0.5622,0.589,0.3243,0.3352,0.1124
Yes, it's his bar.,Ano, je to jeho bar.,51d84e9f.jpeg,0.5201,0.5529,0.4074,0.5394,0.291
Yes, it's his bar.,Ano, je to jeho bar.,cd40761f.jpeg,0.5241,0.5529,0.3684,0.43,0.1849
A minister is making a speech while holding a book.,Ministr pronáší řeč, když drží knihu.,2139a010.jpeg,0.7464,0.8112,0.5958,0.6562,0.4306
A minister is making a speech while holding a book.,Ministr pronáší řeč, když drží knihu.,1c56342c.jpeg,0.7436,0.8112,0.6242,0.7529,0.5668
He set about repairing his drawers.,Opravoval si zásuvky.,18289856.jpeg,0.4458,0.4634,0.2634,0.3109,0.0966
He set about repairing his drawers.,Opravoval si zásuvky.,9655583e.jpeg,0.4432,0.4634,0.3309,0.4248,0.1804
Do you know where my pants are?,Víš, kde mám kalhoty?,e7b25b62.jpeg,0.5557,0.5969,0.3885,0.4966,0.2466
Do you know where my pants are?,Víš, kde mám kalhoty?,0f0d614f.jpeg,0.5643,0.5969,0.3902,0.4331,0.1876
Did you make the table?,Udělal jsi stůl?,98064330.png,0.5461,0.5877,0.2932,0.4056,0.1645
Did you make the table?,Udělal jsi stůl?,ef36615f.jpeg,0.5714,0.5877,0.4167,0.3243,0.1052
Give me the bill.,Dej mi účet.,67f4273e.jpeg,0.455,0.4754,0.3747,0.5042,0.2542
Give me the bill.,Dej mi účet.,3cdf263f.jpeg,0.4448,0.4754,0.2824,0.4341,0.1884
I always remove the skin before eating.,Před jídlem vždy odstraním kůži.,10024f9c.jpeg,0.6074,0.6555,0.4138,0.4988,0.2488
I always remove the skin before eating.,Před jídlem vždy odstraním kůži.,6d3f6275.jpeg,0.6004,0.6555,0.4265,0.5631,0.3171
It's pool time!,Je čas na bazén!,945eaafe.jpeg,0.5456,0.5884,0.4293,0.6068,0.3683
It's pool time!,Je čas na bazén!,f8f08662.jpeg,0.5515,0.5884,0.3731,0.4552,0.2072
The wheel seems to be blocked somehow.,Zdá se, že kolo je nějak zablokované.,62601802.jpeg,0.7102,0.7636,0.5581,0.593,0.3516
The wheel seems to be blocked somehow.,Zdá se, že kolo je nějak zablokované.,d25f8b00.jpeg,0.703,0.7636,0.4815,0.5233,0.2739
Your punch is amazing!,Tvůj úder je úžasný!,ca74d696.jpeg,0.4246,0.4628,0.2648,0.4889,0.239
Your punch is amazing!,Tvůj úder je úžasný!,33a17046.jpeg,0.452,0.4628,0.3667,0.3567,0.1273
My husband bought a chopper recently.,Můj manžel nedávno koupil vrtulník.,b83a0d52.jpeg,0.5399,0.5928,0.3026,0.4719,0.2227
My husband bought a chopper recently.,Můj manžel nedávno koupil vrtulník.,cf615703.jpeg,0.5689,0.5928,0.3534,0.3326,0.1106
You bought a new scarf, didn't you?,Koupila sis novou šálu, že jo?,bd7e6fd1.jpeg,0.5099,0.5464,0.3503,0.4784,0.2289
You bought a new scarf, didn't you?,Koupila sis novou šálu, že jo?,f36df8d4.jpeg,0.498,0.5464,0.3505,0.5728,0.3281
We are under the canopy.,Jsme pod baldachýnem.,275d8d87.jpeg,0.5471,0.591,0.3245,0.4437,0.1968
We are under the canopy.,Jsme pod baldachýnem.,417a2e1b.jpeg,0.5632,0.591,0.457,0.511,0.2611
The dummies need to be cleaned.,Ty figuríny se musí vyčistit.,860e2fac.jpeg,0.5064,0.5299,0.3078,0.3439,0.1182
The dummies need to be cleaned.,Ty figuríny se musí vyčistit.,1b2e7f19.jpeg,0.5077,0.5299,0.3508,0.3762,0.1415
He wants to show me his spot.,Chce mi ukázat své místo.,dd57e9c4.jpeg,0.5607,0.5851,0.2889,0.2997,0.0898
He wants to show me his spot.,Chce mi ukázat své místo.,37b65d2c.jpeg,0.5651,0.5851,0.2281,0.2441,0.0596
Have you seen my pin?,Neviděla jsi můj špendlík?,aca94558.jpeg,0.4228,0.4323,0.3238,0.3095,0.0958
Have you seen my pin?,Neviděla jsi můj špendlík?,b764bfff.jpeg,0.4183,0.4323,0.2967,0.3394,0.1152
The scale is broken.,Měřítko je rozbité.,28b179a0.jpeg,0.5465,0.6252,0.3713,0.6701,0.449
The scale is broken.,Měřítko je rozbité.,a42e8405.jpeg,0.6025,0.6252,0.2991,0.2731,0.0746
Someone should clean the window.,Někdo by měl vyčistit okno.,c0d48044.jpeg,0.7309,0.7804,0.4107,0.3931,0.1546
Someone should clean the window.,Někdo by měl vyčistit okno.,2baa9a21.jpeg,0.7221,0.7804,0.5305,0.5514,0.304
Don't let the kids play in the yard!,Nenech děti hrát si na dvoře!,58d45ce7.jpeg,0.4632,0.4802,0.2575,0.2874,0.0826
Don't let the kids play in the yard!,Nenech děti hrát si na dvoře!,b685970b.jpeg,0.4581,0.4802,0.2713,0.3436,0.1181
The plug has stopped working, could you fix it?,Zástrčka přestala fungovat, můžete to opravit?,15ff842a.jpeg,0.6052,0.6435,0.3718,0.405,0.164
The plug has stopped working, could you fix it?,Zástrčka přestala fungovat, můžete to opravit?,7f021dbf.jpeg,0.6007,0.6435,0.4437,0.5223,0.2728
That's a small stone you have there.,Máš tam malý kámen.,834c9575.jpeg,0.6128,0.6726,0.4128,0.5472,0.2994
That's a small stone you have there.,Máš tam malý kámen.,94e1e71f.jpeg,0.6264,0.6726,0.3602,0.4165,0.1735
I dropped a clip on the floor but I'm not sure where.,Upustil jsem klip na podlaze, ale nevím kde.,0899e541.jpeg,0.5906,0.6245,0.3966,0.4178,0.1746
I dropped a clip on the floor but I'm not sure where.,Upustil jsem klip na podlaze, ale nevím kde.,407421d6.jpeg,0.585,0.6245,0.2803,0.3602,0.1298
Hand me the dough!,Podej mi prachy!,3221b8a2.jpeg,0.3579,0.3595,0.3521,0.5317,0.2827
Hand me the dough!,Podej mi prachy!,a32d69d2.jpeg,0.3557,0.3595,0.3367,0.4523,0.2046
You need to get rid of the ashes.,Musíš se zbavit popela.,0a13492f.jpeg,0.6282,0.6791,0.3414,0.4215,0.1776
You need to get rid of the ashes.,Musíš se zbavit popela.,1cb7d406.jpeg,0.6324,0.6791,0.3879,0.4373,0.1912
She's got a bun in the oven.,Má v troubě housku.,acce2bc9.jpeg,0.3215,0.3289,0.2537,0.3323,0.1104
She's got a bun in the oven.,Má v troubě housku.,46dbc605.jpeg,0.3242,0.3289,0.3054,0.5,0.25
He's got balls!,Má koule!,2655a11f.jpeg,0.4509,0.4608,0.395,0.4226,0.1786
He's got balls!,Má koule!,6daef42a.jpeg,0.4465,0.4608,0.3371,0.3615,0.1307
Don't mess with the controller!,Nezahrávej si s ovladačem!,2f851ed7.jpeg,0.5187,0.5371,0.337,0.3182,0.1012
Don't mess with the controller!,Nezahrávej si s ovladačem!,229d48e1.jpeg,0.5173,0.5371,0.4125,0.4343,0.1886
The deer was just looking straight at me.,Ten jelen se na mě jen díval.,6bd69bcb.jpeg,0.3476,0.3402,0.3634,0.6842,0.4681
The deer was just looking straight at me.,Ten jelen se na mě jen díval.,b2ccd0d9.jpeg,0.347,0.3402,0.3616,0.6815,0.4645
A doe in the field.,Pachatel v terénu.,cfd47eb7.jpeg,0.2841,0.2746,0.3006,0.7588,0.5758
A doe in the field.,Pachatel v terénu.,6476789.jpeg,0.2787,0.2746,0.2946,0.5102,0.2603
Don't look at the fly!,Nedívej se na mouchu!,b256d36e.jpeg,0.5519,0.5693,0.454,0.4228,0.1788
Don't look at the fly!,Nedívej se na mouchu!,e11c1505.jpeg,0.5471,0.5693,0.287,0.2922,0.0854
He bought his own plane.,Koupil si vlastní letadlo.,57c4057c.jpeg,0.6137,0.6426,0.4834,0.4713,0.2221
He bought his own plane.,Koupil si vlastní letadlo.,488a2f83.jpeg,0.6127,0.6426,0.2508,0.2874,0.0826
Look at her face, she has a flush!,Podívej se na její obličej, má flush!,77e96961.jpeg,0.704,0.7543,0.5713,0.6157,0.379
Look at her face, she has a flush!,Podívej se na její obličej, má flush!,e4889d27.jpeg,0.7126,0.7543,0.2576,0.3029,0.0917
Your gum doesn't look good!,Tvoje žvýkačka nevypadá dobře!,8ac8d99a.jpeg,0.6171,0.666,0.4484,0.5387,0.2902
Your gum doesn't look good!,Tvoje žvýkačka nevypadá dobře!,cb6326ed.jpeg,0.6123,0.666,0.4481,0.5719,0.3271
It must be the spirits!,To musí být duchové!,9f4d432f.jpeg,0.4317,0.4524,0.3457,0.4905,0.2406
It must be the spirits!,To musí být duchové!,bf89c490.jpeg,0.4208,0.4524,0.2905,0.493,0.243
The soles were stinky.,Ty podrážky byly smradlavé.,2c7ba1fd.jpeg,0.5181,0.5506,0.1994,0.3197,0.1022
The soles were stinky.,Ty podrážky byly smradlavé.,ac7df394.jpeg,0.5042,0.5506,0.267,0.4428,0.196
A person with a yellow jacket is waiting for something.,Člověk se žlutou bundou na něco čeká.,c7d1e8b3.jpeg,0.717,0.7677,0.5814,0.6116,0.374
A person with a yellow jacket is waiting for something.,Člověk se žlutou bundou na něco čeká.,41fe2d75.jpeg,0.7215,0.7677,0.5945,0.6032,0.3639
I appear to have lost a couple of pounds.,Zdá se, že jsem shodil pár kilo.,024779eb.jpeg,0.5903,0.617,0.4755,0.4824,0.2327
I appear to have lost a couple of pounds.,Zdá se, že jsem shodil pár kilo.,413aebc3.jpeg,0.592,0.617,0.394,0.3551,0.1261
You really need to give the pipes a good clean every now and then.,Vážně musíš tu a tam pořádně vyčistit trubky.,deae3d1c.jpeg,0.5846,0.6383,0.3798,0.5119,0.262
You really need to give the pipes a good clean every now and then.,Vážně musíš tu a tam pořádně vyčistit trubky.,aced3462.jpeg,0.6096,0.6383,0.3779,0.3522,0.1241
This wedge is all rotten.,Ten klín je prohnilý.,d31ef202.jpeg,0.341,0.3399,0.3452,0.5151,0.2653
This wedge is all rotten.,Ten klín je prohnilý.,c4a03333.jpeg,0.3365,0.3399,0.3198,0.454,0.2061
His shoe just fell off in the field.,Jeho bota právě spadla na hřiště.,60f2ad42.jpeg,0.6121,0.6548,0.4621,0.533,0.2841
His shoe just fell off in the field.,Jeho bota právě spadla na hřiště.,25f73d6a.jpeg,0.6127,0.6548,0.3969,0.4417,0.1951
Give me his record, please.,Dejte mi jeho záznam, prosím.,7f61ac4f.jpeg,0.4502,0.4667,0.3323,0.3743,0.1401
Give me his record, please.,Dejte mi jeho záznam, prosím.,973a12ea.jpeg,0.4457,0.4667,0.3219,0.4124,0.1701
That's a wonderful train, isn't it?,To je báječný vlak, že?,9e1a414c.jpeg,0.5721,0.6077,0.4545,0.5501,0.3026
That's a wonderful train, isn't it?,To je báječný vlak, že?,cc4316b3.jpeg,0.5791,0.6077,0.3064,0.3238,0.1049
Have you seen the ruler?,Viděli jste vládce?,082e6875.jpeg,0.4477,0.4868,0.2834,0.4876,0.2377
Have you seen the ruler?,Viděli jste vládce?,e4887243.jpeg,0.4734,0.4868,0.3708,0.3619,0.131
Look under the hood!,Podívejte se pod kapotu!,076f318e.jpeg,0.5921,0.6004,0.5582,0.4959,0.2459
Look under the hood!,Podívejte se pod kapotu!,4302100d.jpeg,0.5786,0.6004,0.3941,0.3436,0.1181
Subway? It's your call.,Je to na tobě.,1e3b0ca8.jpeg,0.3301,0.329,0.3334,0.5585,0.3119
Subway? It's your call.,Je to na tobě.,570a6334.jpeg,0.3275,0.329,0.3201,0.4643,0.2156
What is that sign? I've never seen it before.,Co je to za znamení?,e3229bf5.jpeg,0.3866,0.394,0.3418,0.4074,0.166
What is that sign? I've never seen it before.,Co je to za znamení?,207966ae.jpeg,0.3834,0.394,0.354,0.6011,0.3613
Look, he has a leg injury.,Podívejte, má zraněnou nohu.,67de15f9.jpeg,0.5865,0.6158,0.394,0.3898,0.1519
Look, he has a leg injury.,Podívejte, má zraněnou nohu.,f98d9c9f.jpeg,0.5925,0.6158,0.4958,0.4906,0.2407
He is an experienced rider.,Je to zkušený jezdec.,6d077744.jpeg,0.5569,0.5922,0.4106,0.4909,0.241
He is an experienced rider.,Je to zkušený jezdec.,8f6ff93a.jpeg,0.541,0.5922,0.3543,0.5233,0.2739
Last weekend, we went to the racetrack.,Minulý víkend jsme byli na závodní dráze.,86a567a8.jpeg,0.6607,0.7122,0.48,0.5341,0.2853
Last weekend, we went to the racetrack.,Minulý víkend jsme byli na závodní dráze.,c1ba9bc9.jpeg,0.641,0.7122,0.4089,0.5538,0.3067
Wow, the model is beautiful!,Páni, ten model je nádherný!,ade009ad.jpeg,0.5745,0.614,0.3431,0.413,0.1705
Wow, the model is beautiful!,Páni, ten model je nádherný!,46f204b2.jpeg,0.5825,0.614,0.3763,0.3911,0.1529
The dock is made of wood and is relatively sturdy.,Dok je ze dřeva a je poměrně pevný.,527d027b.jpeg,0.5344,0.5324,0.541,0.5496,0.3021
The dock is made of wood and is relatively sturdy.,Dok je ze dřeva a je poměrně pevný.,4a366ec6.jpeg,0.5154,0.5324,0.4832,0.7282,0.5303
Why do I get the impression he really likes drills?,Proč mám dojem, že má rád cvičení?,68c433ba.jpeg,0.5494,0.5728,0.3667,0.3581,0.1282
Why do I get the impression he really likes drills?,Proč mám dojem, že má rád cvičení?,912b8ee3.jpeg,0.532,0.5728,0.2705,0.395,0.1561
He is sitting on the trunk.,Sedí na kufru.,335b3281.jpeg,0.5716,0.605,0.3471,0.3856,0.1487
He is sitting on the trunk.,Sedí na kufru.,a5f72754.jpeg,0.5683,0.605,0.3445,0.4049,0.164
The ball lasted a really long time, well worth the money!,Míč trval opravdu dlouho, dobře stojí za ty peníze!,20217a1a.jpeg,0.647,0.6779,0.2407,0.2756,0.076
The ball lasted a really long time, well worth the money!,Míč trval opravdu dlouho, dobře stojí za ty peníze!,c623d53b.jpeg,0.6294,0.6779,0.4062,0.4662,0.2174
He took the lead.,On se ujal vedení.,b5c98a9e.jpeg,0.4898,0.5216,0.3268,0.4417,0.1951
He took the lead.,On se ujal vedení.,6f82a941.jpeg,0.4888,0.5216,0.3636,0.5118,0.262
Have you got any coke?,Máš nějaký koks?,264ae5e9.jpeg,0.4752,0.496,0.3808,0.4695,0.2204
Have you got any coke?,Máš nějaký koks?,115bec66.jpeg,0.4875,0.496,0.4297,0.3833,0.147
This dog's muzzle is weird.,Ten pes má divný náhubek.,b7320652.jpeg,0.3008,0.3248,0.2443,0.651,0.4237
This dog's muzzle is weird.,Ten pes má divný náhubek.,4fd8f02b.jpeg,0.3014,0.3248,0.2371,0.6039,0.3647
Can you not hear the roar?,Copak neslyšíš ten řev?,450cdf0d.jpeg,0.4801,0.5211,0.3229,0.511,0.2611
Can you not hear the roar?,Copak neslyšíš ten řev?,7a2c2848.jpeg,0.4899,0.5211,0.2835,0.3892,0.1515
Hand me the spade.,Podej mi rýč.,acf5e2d2.jpeg,0.3053,0.3105,0.2764,0.4246,0.1803
Hand me the spade.,Podej mi rýč.,e82edf58.jpeg,0.323,0.3105,0.3767,0.4825,0.2328
He had a nice cold beer out on the deck.,Měl na palubě pěkně studené pivo.,06c95da3.jpeg,0.6265,0.6507,0.4317,0.3518,0.1238
He had a nice cold beer out on the deck.,Měl na palubě pěkně studené pivo.,83a1ed92.jpeg,0.6136,0.6507,0.3471,0.3732,0.1393
