Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
It might be easier with a pick.,Může to být snadnější s kleštěm.,4a6ca5a.jpeg,0.6086,0.6553,0.3807,0.4531,0.2053
I have a club.,Mám klub.,cce02b1.jpeg,0.6047,0.6618,0.4139,0.5468,0.2989
I have a club.,Mám klub.,d01da65.jpeg,0.6116,0.6618,0.3406,0.4305,0.1853
Which port does he want?,Který přístav chce?,de257f1.jpeg,0.5446,0.5393,0.5757,0.4127,0.1704
Which port does he want?,Který přístav chce?,4511cf4.jpeg,0.5112,0.5393,0.3646,0.4377,0.1916
Sorry, the tape's just run out.,Je mi líto, páska se právě vyčerpala.,cc50c7e0.jpeg,0.4908,0.5247,0.268,0.39,0.1521
Sorry, the tape's just run out.,Je mi líto, páska se právě vyčerpala.,8207d9b2.jpeg,0.4958,0.5247,0.3515,0.4483,0.201
They checked the seal.,Zkontrolovali těsnění.,8b12aebf.jpeg,0.4936,0.5105,0.2986,0.2947,0.0868
They checked the seal.,Zkontrolovali těsnění.,59364b5.jpeg,0.4876,0.5105,0.3537,0.4143,0.1716
Why is the chair here?,Proč je tu ten stůl?,2caf5d9.jpeg,0.5846,0.6528,0.3271,0.5144,0.2646
Why is the chair here?,Proč je tu ten stůl?,ef02ac2.jpeg,0.5583,0.6528,0.3464,0.6679,0.4461
There must be a hole in the tank somewhere.,Musí být v nádrži někde díra.,22f9dcb.jpeg,0.5549,0.5807,0.4018,0.4107,0.1687
There must be a hole in the tank somewhere.,Musí být v nádrži někde díra.,acb5659.jpeg,0.5569,0.5807,0.4571,0.4886,0.2387
We're going to have to do without the poker then.,Budeme muset udělat bez pokeru.,c0816da.jpeg,0.5821,0.6152,0.3829,0.4074,0.166
We're going to have to do without the poker then.,Budeme muset udělat bez pokeru.,32da2f5.jpeg,0.5826,0.6152,0.2593,0.3173,0.1007
I don't give a damn about the cup.,Já se do toho poháru vůbec nezajímám.,2f05055.jpeg,0.4965,0.506,0.4469,0.4374,0.1913
I don't give a damn about the cup.,Já se do toho poháru vůbec nezajímám.,247987b2.jpeg,0.4774,0.506,0.362,0.4984,0.2484
The fans were still out of order.,Fanoušky bylo stále mimo provoz.,0316663.jpeg,0.6088,0.6471,0.3411,0.3784,0.1432
The fans were still out of order.,Fanoušky bylo stále mimo provoz.,657c4a7.jpeg,0.5875,0.6471,0.3807,0.5369,0.2883
I don't think we should use a brush.,Nemyslím si, že bychom měli použít kartáč.,189049b.jpeg,0.6017,0.6544,0.3671,0.4739,0.2246
I don't think we should use a brush.,Nemyslím si, že bychom měli použít kartáč.,ff78fc7.jpeg,0.6024,0.6544,0.3576,0.4611,0.2126
There's the horn.,Tady je roh.,ed2221a.jpeg,0.4354,0.4247,0.4645,0.6072,0.3686
There's the horn.,Tady je roh.,7d6fbfa.jpeg,0.4237,0.4247,0.4198,0.4899,0.24
Can you not see the red light?,Vidíš červenou?,7241ebd.jpeg,0.4676,0.4588,0.4942,0.5736,0.3291
Can you not see the red light?,Vidíš červenou?,fb2edd5.jpeg,0.4554,0.4588,0.4436,0.543,0.2948
I know - good job there are showers.,Já vím - dobře, že jsou sprchy.,a78f616.jpeg,0.5399,0.5709,0.3289,0.3834,0.147
I know - good job there are showers.,Já vím - dobře, že jsou sprchy.,3a1b985.jpeg,0.5358,0.5709,0.3231,0.4062,0.165
Like a bat?,Jako netopýr?,e40843b.jpeg,0.3804,0.376,0.3942,0.5581,0.3115
Like a bat?,Jako netopýr?,c239573.jpeg,0.3738,0.376,0.3618,0.4337,0.1881
You should use a fork.,Měl bys použít vidličku.,1aea2b4.jpeg,0.6263,0.6814,0.4131,0.5087,0.2587
You should use a fork.,Měl bys použít vidličku.,bbad554.jpeg,0.6386,0.6814,0.391,0.4159,0.173
What a beautiful bass!,Jaký krásný bas!,a96afbd.jpeg,0.633,0.7026,0.4365,0.5952,0.3543
What a beautiful bass!,Jaký krásný bas!,3165ef6.jpeg,0.6336,0.7026,0.3352,0.4807,0.231
A biker on the road.,Biker na silnici.,4ercqd74.jpeg,0.7289,0.7639,0.6567,0.6966,0.4852
A biker on the road.,Biker na silnici.,d56edd34.jpeg,0.7154,0.7639,0.6193,0.7107,0.5051
That's lots of bucks!,To je spousta peněz!,bee3626.jpeg,0.5924,0.6344,0.3155,0.3895,0.1517
That's lots of bucks!,To je spousta peněz!,7c4e078.jpeg,0.6141,0.6344,0.5462,0.546,0.2981
A person looking at a rock.,A person looking at a rock.,d052f05f.jpeg,0.8941,1.0,0.6013,0.6013,0.3616
A person looking at a rock.,A person looking at a rock.,118a75ff.jpeg,0.902,1.0,0.4847,0.4847,0.2349
The lamp is tall and elegant.,Lampa je vysoká a elegantní.,5a43462.jpeg,0.7596,0.8511,0.5232,0.6222,0.3872
The lamp is tall and elegant.,Lampa je vysoká a elegantní.,ffda480.jpeg,0.7719,0.8511,0.4201,0.4744,0.225
Give me the file please.,Dej mi prosím ten soubor.,e740816.jpeg,0.462,0.4892,0.3375,0.467,0.2181
Give me the file please.,Dej mi prosím ten soubor.,c47d9e24.jpeg,0.4681,0.4892,0.2962,0.3503,0.1227
The tube looks dirty!,Ten trubka vypadá špinavě!,27b9b32.jpeg,0.5473,0.5822,0.2726,0.3563,0.127
The tube looks dirty!,Ten trubka vypadá špinavě!,2535cf5.jpeg,0.5228,0.5822,0.2339,0.4535,0.2057
An animal sitting in a palm.,Zvíře sedící na palmě.,a9c0ad02.jpeg,0.7484,0.8255,0.5493,0.6227,0.3878
An animal sitting in a palm.,Zvíře sedící na palmě.,638a4049.jpeg,0.76,0.8255,0.4659,0.4722,0.223
Show me the ring!,Ukaž mi prsten!,32962fc.jpeg,0.5435,0.5605,0.4927,0.5784,0.3346
Show me the ring!,Ukaž mi prsten!,f4217ff.jpeg,0.5299,0.5605,0.3275,0.3886,0.151
A man with a hat is smoking.,Muž s kloboukem kouří.,ee1f6c9.jpeg,0.743,0.7922,0.6578,0.7598,0.5772
A man with a hat is smoking.,Muž s kloboukem kouří.,33fbe77.jpeg,0.7393,0.7922,0.6413,0.7344,0.5394
A group of boys playing football.,Skupina chlapců hraje fotbal.,787678e.jpeg,0.6974,0.7713,0.4944,0.6031,0.3638
A group of boys playing football.,Skupina chlapců hraje fotbal.,2db1e17.jpeg,0.7269,0.7713,0.616,0.6325,0.4001
Get away from the float!,Ustupte od plovoucího tělesa!,a021362.jpeg,0.6006,0.6187,0.5204,0.4741,0.2248
Get away from the float!,Ustupte od plovoucího tělesa!,48a50026.jpeg,0.5778,0.6187,0.3622,0.4354,0.1896
A woman is folding sheets.,Žena skládá povlečení.,c82c823d.jpg,0.5665,0.6135,0.3465,0.4618,0.2132
A woman is folding sheets.,Žena skládá povlečení.,a5ee9d0.jpeg,0.5644,0.6135,0.392,0.5331,0.2841
A boy using a compass.,Chlapec používá kompas.,00112e3.jpeg,0.7225,0.8119,0.4481,0.5708,0.3258
A boy using a compass.,Chlapec používá kompas.,edbb25a2.jpeg,0.7233,0.8119,0.3766,0.5056,0.2557
Could you fix the sink please?,Mohl byste opravit dřez, prosím?,d8d0a9b.jpeg,0.3561,0.3885,0.2626,0.5886,0.3465
Could you fix the sink please?,Mohl byste opravit dřez, prosím?,3ab2469.jpeg,0.3511,0.3885,0.2525,0.6158,0.3792
Look at the balloon!,Podívejte se na balón!,d33f4b4.jpeg,0.6951,0.757,0.5214,0.597,0.3564
Look at the balloon!,Podívejte se na balón!,58aace5.jpeg,0.6948,0.757,0.4973,0.5612,0.315
He seems to be enjoying the date!,Zdá se, že si užívá rande!,9e36a43.jpeg,0.6458,0.6797,0.5085,0.497,0.247
He seems to be enjoying the date!,Zdá se, že si užívá rande!,34965040.jpeg,0.6478,0.6797,0.4204,0.374,0.1399
Don't eat the bones!,Nesmíš jíst kosti!,5957d5c.jpeg,0.5593,0.5944,0.3686,0.4294,0.1844
Don't eat the bones!,Nesmíš jíst kosti!,49ea273.jpeg,0.5575,0.5944,0.3882,0.4667,0.2178
Great, it's cricket season!,Skvělé, je tu kriketová sezóna!,8d852883.jpeg,0.6009,0.6236,0.4819,0.4366,0.1906
Great, it's cricket season!,Skvělé, je tu kriketová sezóna!,b25981e4.jpeg,0.5873,0.6236,0.3038,0.3577,0.128
We've got another jam I'm afraid.,Máme další jam, obávám se.,75ddacf3.jpeg,0.5768,0.6006,0.2713,0.279,0.0779
We've got another jam I'm afraid.,Máme další jam, obávám se.,fbe7b91d.jpeg,0.5715,0.6006,0.3129,0.3352,0.1124
Yes, it's his bar.,Ano, je to jeho bar.,51d84e9f.jpeg,0.5201,0.5529,0.4074,0.5394,0.291
Yes, it's his bar.,Ano, je to jeho bar.,cd40761f.jpeg,0.5241,0.5529,0.3684,0.43,0.1849
A minister is making a speech while holding a book.,A ministr pronáší řeč při držení knihy.,2139a010.jpeg,0.7514,0.8375,0.5513,0.6562,0.4306
A minister is making a speech while holding a book.,A ministr pronáší řeč při držení knihy.,1c56342c.jpeg,0.7747,0.8375,0.664,0.7529,0.5668
He set about repairing his drawers.,Začal opravovat své skříňky.,18289856.jpeg,0.5276,0.5489,0.3078,0.3109,0.0966
He set about repairing his drawers.,Začal opravovat své skříňky.,9655583e.jpeg,0.5238,0.5489,0.3848,0.4248,0.1804
Do you know where my pants are?,Víš, kde jsou moje kalhoty?,e7b25b62.jpeg,0.5902,0.6409,0.3847,0.4966,0.2466
Do you know where my pants are?,Víš, kde jsou moje kalhoty?,0f0d614f.jpeg,0.5987,0.6409,0.3736,0.4331,0.1876
Did you make the table?,Udělal jsi ten stůl?,98064330.png,0.5111,0.5486,0.2833,0.4056,0.1645
Did you make the table?,Udělal jsi ten stůl?,ef36615f.jpeg,0.535,0.5486,0.4056,0.3243,0.1052
Give me the bill.,Dej mi účet.,67f4273e.jpeg,0.455,0.4754,0.3747,0.5042,0.2542
Give me the bill.,Dej mi účet.,3cdf263f.jpeg,0.4448,0.4754,0.2824,0.4341,0.1884
I always remove the skin before eating.,Vždy si před jídlem sundám kůži.,10024f9c.jpeg,0.5154,0.5379,0.4251,0.4988,0.2488
I always remove the skin before eating.,Vždy si před jídlem sundám kůži.,6d3f6275.jpeg,0.5133,0.5379,0.4357,0.5631,0.3171
It's pool time!,Čas na bazén!,945eaafe.jpeg,0.5326,0.5736,0.4215,0.6068,0.3683
It's pool time!,Čas na bazén!,f8f08662.jpeg,0.5434,0.5736,0.3977,0.4552,0.2072
The wheel seems to be blocked somehow.,Kolo se zdá být nějak zablokováno.,62601802.jpeg,0.5592,0.5994,0.445,0.593,0.3516
The wheel seems to be blocked somehow.,Kolo se zdá být nějak zablokováno.,d25f8b00.jpeg,0.562,0.5994,0.4252,0.5233,0.2739
Your punch is amazing!,Tvoje pěstí je úžasné!,ca74d696.jpeg,0.394,0.4132,0.3139,0.4889,0.239
Your punch is amazing!,Tvoje pěstí je úžasné!,33a17046.jpeg,0.4007,0.4132,0.3025,0.3567,0.1273
My husband bought a chopper recently.,Můj manžel si nedávno koupil chopper.,b83a0d52.jpeg,0.6692,0.7351,0.3733,0.4719,0.2227
My husband bought a chopper recently.,Můj manžel si nedávno koupil chopper.,cf615703.jpeg,0.6925,0.7351,0.3077,0.3326,0.1106
You bought a new scarf, didn't you?,Koupil jsi si novou šálu, ne?,bd7e6fd1.jpeg,0.6295,0.6897,0.3663,0.4784,0.2289
You bought a new scarf, didn't you?,Koupil jsi si novou šálu, ne?,f36df8d4.jpeg,0.6265,0.6897,0.4338,0.5728,0.3281
We are under the canopy.,Jsme pod přístřeškem.,275d8d87.jpeg,0.5144,0.5453,0.3573,0.4437,0.1968
We are under the canopy.,Jsme pod přístřeškem.,417a2e1b.jpeg,0.5155,0.5453,0.4017,0.511,0.2611
The dummies need to be cleaned.,Potřebují se vyčistit.,860e2fac.jpeg,0.4961,0.5137,0.3473,0.3439,0.1182
The dummies need to be cleaned.,Potřebují se vyčistit.,1b2e7f19.jpeg,0.4961,0.5137,0.3714,0.3762,0.1415
He wants to show me his spot.,Chce mi ukázat své místo.,dd57e9c4.jpeg,0.5607,0.5851,0.2889,0.2997,0.0898
He wants to show me his spot.,Chce mi ukázat své místo.,37b65d2c.jpeg,0.5651,0.5851,0.2281,0.2441,0.0596
Have you seen my pin?,Viděl jsi můj spodek?,aca94558.jpeg,0.437,0.4531,0.2695,0.3095,0.0958
Have you seen my pin?,Viděl jsi můj spodek?,b764bfff.jpeg,0.433,0.4531,0.2589,0.3394,0.1152
The scale is broken.,Škála je rozbitá.,28b179a0.jpeg,0.6204,0.6837,0.4794,0.6701,0.449
The scale is broken.,Škála je rozbitá.,a42e8405.jpeg,0.6575,0.6837,0.3059,0.2731,0.0746
Someone should clean the window.,Někdo by měl umýt okno.,c0d48044.jpeg,0.6714,0.7135,0.399,0.3931,0.1546
Someone should clean the window.,Někdo by měl umýt okno.,2baa9a21.jpeg,0.6685,0.7135,0.5205,0.5514,0.304
Don't let the kids play in the yard!,Nechte děti hrát na dvorku!,58d45ce7.jpeg,0.58,0.6051,0.2766,0.2874,0.0826
Don't let the kids play in the yard!,Nechte děti hrát na dvorku!,b685970b.jpeg,0.573,0.6051,0.3013,0.3436,0.1181
The plug has stopped working, could you fix it?,Zastavila se zásuvka, mohla bys ji opravit?,15ff842a.jpeg,0.5727,0.6022,0.3931,0.405,0.164
The plug has stopped working, could you fix it?,Zastavila se zásuvka, mohla bys ji opravit?,7f021dbf.jpeg,0.5693,0.6022,0.4487,0.5223,0.2728
That's a small stone you have there.,To je malý kámen, co máš tam.,834c9575.jpeg,0.6038,0.6475,0.4578,0.5472,0.2994
That's a small stone you have there.,To je malý kámen, co máš tam.,94e1e71f.jpeg,0.6072,0.6475,0.3748,0.4165,0.1735
I dropped a clip on the floor but I'm not sure where.,Upustil jsem klip na zem, ale nejsem si jistý, kde.,0899e541.jpeg,0.5723,0.6049,0.3855,0.4178,0.1746
I dropped a clip on the floor but I'm not sure where.,Upustil jsem klip na zem, ale nejsem si jistý, kde.,407421d6.jpeg,0.5676,0.6049,0.2804,0.3602,0.1298
Hand me the dough!,Dej mi těsto!,3221b8a2.jpeg,0.4544,0.4647,0.4181,0.5317,0.2827
Hand me the dough!,Dej mi těsto!,a32d69d2.jpeg,0.4406,0.4647,0.3233,0.4523,0.2046
You need to get rid of the ashes.,Musíš se zbavit popela.,0a13492f.jpeg,0.6282,0.6791,0.3414,0.4215,0.1776
You need to get rid of the ashes.,Musíš se zbavit popela.,1cb7d406.jpeg,0.6324,0.6791,0.3879,0.4373,0.1912
She's got a bun in the oven.,Má v troubě koblihu.,acce2bc9.jpeg,0.3659,0.3802,0.2369,0.3323,0.1104
She's got a bun in the oven.,Má v troubě koblihu.,46dbc605.jpeg,0.3745,0.3802,0.3516,0.5,0.25
He's got balls!,On má koule!,2655a11f.jpeg,0.4886,0.4998,0.4256,0.4226,0.1786
He's got balls!,On má koule!,6daef42a.jpeg,0.4869,0.4998,0.3885,0.3615,0.1307
Don't mess with the controller!,Nehraj si s ovladačem!,2f851ed7.jpeg,0.3446,0.3513,0.2787,0.3182,0.1012
Don't mess with the controller!,Nehraj si s ovladačem!,229d48e1.jpeg,0.3408,0.3513,0.2852,0.4343,0.1886
The deer was just looking straight at me.,Deer se na mě jen tak díval.,6bd69bcb.jpeg,0.6175,0.6488,0.5505,0.6842,0.4681
The deer was just looking straight at me.,Deer se na mě jen tak díval.,b2ccd0d9.jpeg,0.6303,0.6488,0.5906,0.6815,0.4645
A doe in the field.,A doe v poli.,cfd47eb7.jpeg,0.6539,0.733,0.5166,0.7588,0.5758
A doe in the field.,A doe v poli.,6476789.jpeg,0.6585,0.733,0.3724,0.5102,0.2603
Don't look at the fly!,Nezírej na mouchu!,b256d36e.jpeg,0.3999,0.4051,0.3705,0.4228,0.1788
Don't look at the fly!,Nezírej na mouchu!,e11c1505.jpeg,0.3946,0.4051,0.2719,0.2922,0.0854
He bought his own plane.,Koupil si vlastní letadlo.,57c4057c.jpeg,0.6137,0.6426,0.4834,0.4713,0.2221
He bought his own plane.,Koupil si vlastní letadlo.,488a2f83.jpeg,0.6127,0.6426,0.2508,0.2874,0.0826
Look at her face, she has a flush!,Podívejte se na její obličej, má zarudnutí!,77e96961.jpeg,0.6448,0.6777,0.5581,0.6157,0.379
Look at her face, she has a flush!,Podívejte se na její obličej, má zarudnutí!,e4889d27.jpeg,0.6419,0.6777,0.2512,0.3029,0.0917
Your gum doesn't look good!,Tvoje gumy nevypadají dobře!,8ac8d99a.jpeg,0.4231,0.4549,0.3137,0.5387,0.2902
Your gum doesn't look good!,Tvoje gumy nevypadají dobře!,cb6326ed.jpeg,0.4102,0.4549,0.2734,0.5719,0.3271
It must be the spirits!,Musí to být duchové!,9f4d432f.jpeg,0.5453,0.5823,0.3918,0.4905,0.2406
It must be the spirits!,Musí to být duchové!,bf89c490.jpeg,0.5385,0.5823,0.3586,0.493,0.243
The soles were stinky.,Sole byly smradlavé.,2c7ba1fd.jpeg,0.4048,0.4205,0.2514,0.3197,0.1022
The soles were stinky.,Sole byly smradlavé.,ac7df394.jpeg,0.399,0.4205,0.2895,0.4428,0.196
A person with a yellow jacket is waiting for something.,Člověk v žlutém kabátě čeká na něco.,c7d1e8b3.jpeg,0.7364,0.7865,0.6025,0.6116,0.374
A person with a yellow jacket is waiting for something.,Člověk v žlutém kabátě čeká na něco.,41fe2d75.jpeg,0.7285,0.7865,0.5693,0.6032,0.3639
I appear to have lost a couple of pounds.,Zdá se, že jsem ztratil pár kilo.,024779eb.jpeg,0.6423,0.6789,0.4848,0.4824,0.2327
I appear to have lost a couple of pounds.,Zdá se, že jsem ztratil pár kilo.,413aebc3.jpeg,0.6454,0.6789,0.38,0.3551,0.1261
You really need to give the pipes a good clean every now and then.,Opravdu potřebujete dát potrubí dobrý čistý čas od času.,deae3d1c.jpeg,0.585,0.6432,0.3629,0.5119,0.262
You really need to give the pipes a good clean every now and then.,Opravdu potřebujete dát potrubí dobrý čistý čas od času.,aced3462.jpeg,0.6041,0.6432,0.2893,0.3522,0.1241
This wedge is all rotten.,Tento klín je úplně zkažený.,d31ef202.jpeg,0.4234,0.4437,0.3472,0.5151,0.2653
This wedge is all rotten.,Tento klín je úplně zkažený.,c4a03333.jpeg,0.4219,0.4437,0.3165,0.454,0.2061
His shoe just fell off in the field.,Jeho boty se právě uvolnily na poli.,60f2ad42.jpeg,0.5881,0.642,0.3984,0.533,0.2841
His shoe just fell off in the field.,Jeho boty se právě uvolnily na poli.,25f73d6a.jpeg,0.6016,0.642,0.3945,0.4417,0.1951
Give me his record, please.,Dej mi jeho záznam, prosím.,7f61ac4f.jpeg,0.4117,0.4245,0.3205,0.3743,0.1401
Give me his record, please.,Dej mi jeho záznam, prosím.,973a12ea.jpeg,0.4081,0.4245,0.3115,0.4124,0.1701
That's a wonderful train, isn't it?,To je nádherný vlak, že?,9e1a414c.jpeg,0.615,0.6581,0.4728,0.5501,0.3026
That's a wonderful train, isn't it?,To je nádherný vlak, že?,cc4316b3.jpeg,0.6291,0.6581,0.3526,0.3238,0.1049
Have you seen the ruler?,Viděl jsi pravítko?,082e6875.jpeg,0.4007,0.4347,0.2576,0.4876,0.2377
Have you seen the ruler?,Viděl jsi pravítko?,e4887243.jpeg,0.4132,0.4347,0.2488,0.3619,0.131
Look under the hood!,Podívejte se pod kapotu!,076f318e.jpeg,0.5921,0.6004,0.5582,0.4959,0.2459
Look under the hood!,Podívejte se pod kapotu!,4302100d.jpeg,0.5786,0.6004,0.3941,0.3436,0.1181
Subway? It's your call.,Metro? Je to na tobě.,1e3b0ca8.jpeg,0.5398,0.5965,0.3578,0.5585,0.3119
Subway? It's your call.,Metro? Je to na tobě.,570a6334.jpeg,0.5771,0.5965,0.4871,0.4643,0.2156
What is that sign? I've never seen it before.,Co je to za značku? Nikdy jsem ji předtím neviděl.,e3229bf5.jpeg,0.5278,0.564,0.3093,0.4074,0.166
What is that sign? I've never seen it before.,Co je to za značku? Nikdy jsem ji předtím neviděl.,207966ae.jpeg,0.5056,0.564,0.344,0.6011,0.3613
Look, he has a leg injury.,Podívejte, má zranění nohy.,67de15f9.jpeg,0.5961,0.6271,0.3926,0.3898,0.1519
Look, he has a leg injury.,Podívejte, má zranění nohy.,f98d9c9f.jpeg,0.6061,0.6271,0.5188,0.4906,0.2407
He is an experienced rider.,Je zkušený jezdec.,6d077744.jpeg,0.561,0.5911,0.4363,0.4909,0.241
He is an experienced rider.,Je zkušený jezdec.,8f6ff93a.jpeg,0.5429,0.5911,0.3672,0.5233,0.2739
Last weekend, we went to the racetrack.,Minulý víkend jsme šli na závodní dráhu.,86a567a8.jpeg,0.6793,0.739,0.4701,0.5341,0.2853
Last weekend, we went to the racetrack.,Minulý víkend jsme šli na závodní dráhu.,c1ba9bc9.jpeg,0.6592,0.739,0.3988,0.5538,0.3067
Wow, the model is beautiful!,Wow, model je krásný!,ade009ad.jpeg,0.7739,0.8492,0.3323,0.413,0.1705
Wow, the model is beautiful!,Wow, model je krásný!,46f204b2.jpeg,0.795,0.8492,0.4408,0.3911,0.1529
The dock is made of wood and is relatively sturdy.,Lodní mola jsou z dřeva a jsou poměrně pevné.,527d027b.jpeg,0.633,0.6959,0.4247,0.5496,0.3021
The dock is made of wood and is relatively sturdy.,Lodní mola jsou z dřeva a jsou poměrně pevné.,4a366ec6.jpeg,0.6663,0.6959,0.6104,0.7282,0.5303
Why do I get the impression he really likes drills?,Proč mám pocit, že se opravdu líbí vrtání?,68c433ba.jpeg,0.5188,0.5537,0.2467,0.3581,0.1282
Why do I get the impression he really likes drills?,Proč mám pocit, že se opravdu líbí vrtání?,912b8ee3.jpeg,0.522,0.5537,0.3188,0.395,0.1561
He is sitting on the trunk.,Sedí na bedně.,335b3281.jpeg,0.5645,0.5983,0.3371,0.3856,0.1487
He is sitting on the trunk.,Sedí na bedně.,a5f72754.jpeg,0.5597,0.5983,0.3246,0.4049,0.164
The ball lasted a really long time, well worth the money!,Koule vydržela opravdu dlouho, za peníze to stálo!,20217a1a.jpeg,0.5448,0.5692,0.2232,0.2756,0.076
The ball lasted a really long time, well worth the money!,Koule vydržela opravdu dlouho, za peníze to stálo!,c623d53b.jpeg,0.5226,0.5692,0.3081,0.4662,0.2174
He took the lead.,Vzal vedení.,b5c98a9e.jpeg,0.4674,0.4882,0.3608,0.4417,0.1951
He took the lead.,Vzal vedení.,6f82a941.jpeg,0.4635,0.4882,0.3693,0.5118,0.262
Have you got any coke?,Máš nějakou kokainu?,264ae5e9.jpeg,0.4637,0.48,0.3897,0.4695,0.2204
Have you got any coke?,Máš nějakou kokainu?,115bec66.jpeg,0.481,0.48,0.4879,0.3833,0.147
This dog's muzzle is weird.,Tohle psí čumák je divný.,b7320652.jpeg,0.5124,0.5584,0.4038,0.651,0.4237
This dog's muzzle is weird.,Tohle psí čumák je divný.,4fd8f02b.jpeg,0.5213,0.5584,0.4195,0.6039,0.3647
Can you not hear the roar?,Můžete slyšet řev?,450cdf0d.jpeg,0.5486,0.5832,0.4161,0.511,0.2611
Can you not hear the roar?,Můžete slyšet řev?,7a2c2848.jpeg,0.5564,0.5832,0.3795,0.3892,0.1515
Hand me the spade.,Dej mi lopatu.,acf5e2d2.jpeg,0.4934,0.5164,0.3658,0.4246,0.1803
Hand me the spade.,Dej mi lopatu.,e82edf58.jpeg,0.4866,0.5164,0.3589,0.4825,0.2328
He had a nice cold beer out on the deck.,Měl tam na terase příjemné vychlazené pivo.,06c95da3.jpeg,0.6421,0.6748,0.378,0.3518,0.1238
